id,name
26,Aforti
98,Akulaku
111,Alexcredit
176,Alivio Capital
211,Avafin
180,Capem
36,Capital Service
99,Cashwagon Indonesia
87,Cashwagon Philippines
110,Cashwagon Vietnam
114,Conmigo Vales
31,Creditstar Estonia
95,Creditstar Finland
137,Creditter
96,Dineo Credito
129,Dinerito Xtra
131,Dinero
60,Dozarplati
109,Dziesiatka Finanse
118,E-Cash
40,EcoFinance
168,Eleving Kenya
57,Eleving Zambia
199,Esto
71,Eurocent PL
115,Everest
175,Fenchurch
159,Finclusion
135,Finko Armenia (Varks)
136,Finko Ukraine UKRPOZYKA
48,GetBucks Botswana
46,GetBucks Zambia
112,Gocredit
104,ID Finance Mexico
172,MFO FintechFinance
13,Id Finance Spain
51,Iutecredit
70,Kredit24
77,Kviku
75,Lime Zaim
157,MFO OnlineKazFinance
97,MONEGO SH.P.K.
113,Mikro Kapital Moldova
138,Mikro Kapital Romenia
20,Mybucks
100,Novaloans
89,Peachy
183,Planet42
72,Rapicredit
25,Rapido
158,Revo Russia
107,SOS Credit
179,Unknown 179
122,Wowwo
173,Mikro Kapital Uzbekistan
195, Pinjam Yuk
